,movie,year,imdb,votes,metascore
554,Spider-Man,(2002),7.3,643786,73
555,Star Wars: Episode II - Attack of the Clones,(2002),6.6,577874,54
556,Harry Potter and the Chamber of Secrets,(2002),7.4,496392,63
557,The Bourne Identity,(2002),7.9,476970,68
558,Minority Report,(2002),7.6,471752,80
559,Ice Age,(2002),7.5,404821,60
560,Gangs of New York,(2002),7.6,373200,72
561,28 Days Later...,(2002),7.6,347085,73
562,Signs,(2002),6.7,318187,59
563,Men in Black II,(2002),6.1,316908,49
564,The Ring,(2002),7.1,299330,57
565,Equilibrium,(2002),7.5,296939,33
566,The Transporter,(2002),6.8,270382,51
567,Insomnia,(2002),7.2,254558,78
568,The Wire,(2002–2008),9.3,249009,NaN
569,Panic Room,(2002),6.8,238209,65
570,Phone Booth,(2002),7.1,237722,56
571,Red Dragon,(2002),7.2,232783,60
572,Resident Evil,(2002),6.7,232738,33
573,8 Mile,(2002),7.1,229441,77
574,Road to Perdition,(2002),7.7,228965,72
575,Firefly,(2002–2003),9.0,227447,NaN
576,Chicago,(2002),7.2,201853,82
577,Die Another Day,(2002),6.1,192506,56
578,A Walk to Remember,(2002),7.4,188846,35
579,Blade II,(2002),6.7,187388,52
580,Austin Powers in Goldmember,(2002),6.2,184955,62
581,Ying xiong,(2002),7.9,166486,85
582,xXx,(2002),5.9,166464,48
583,Adaptation.,(2002),7.7,165639,83
584,25th Hour,(2002),7.7,163026,67
585,About a Boy,(2002),7.1,162002,75
586,Lilo & Stitch,(2002),7.2,151489,73
587,Bowling for Columbine,(2002),8.0,135094,72
588,Punch-Drunk Love,(2002),7.3,133428,78
